Date,Value,,,,,
671,38.5326,73.597969,,,,
672,37.2535,71.65733,,,,
673,37.2182,70.9724045,,,,
674,36.0187,69.83085,,,,
675,34.9243,68.23268,,,,
676,33.9922,65.94958,,,,
677,35.5902,61.84,,,,
678,34.5486,61.38338,,,,
679,33.5483,57.6162643,,,,
680,32.6205,54.53408,,,,
681,33.4416,51.56605,,,,
682,33.0238,48.4838638,,,,
683,32.1292,45.8583,,,,
684,31.3017,42.43365,,,,
685,30.5358,39.693924,,,,
686,29.8273,37.41083,,,,
687,29.1702,36.26928,,,,
688,28.5582,36.26928,,,,
689,28.0134,36.7259,,,,
690,27.4956,36.26928,,,,
691,27.0031,35.92681,,,,
692,26.5684,36.26928,,,,
693,26.141,36.7259,,,,
694,25.7353,37.41083,,,,
695,25.3573,36.26928,,,,
696,25.0014,36.7259,,,,
697,24.673,36.26928,,,,
698,24.3569,36.26928,,,,
699,24.0584,35.5843468,,,,
700,23.7772,35.5843468,,,,
701,23.5086,35.1277237,,,,
702,23.2513,35.1277237,,,,
703,23.0048,34.4427948,,,,
704,22.7704,33.9861755,,,,
705,22.5469,33.9861755,,,,
706,22.3333,33.9861755,,,,
707,22.1291,33.072937,,,,
708,21.9333,32.1596947,,,,
709,22.0247,31.2464561,,,,
710,21.8523,29.4199753,,,,
711,21.6832,29.4199753,,,,
712,21.5173,29.07751,,,,
713,21.3546,28.5067329,,,,
714,21.1952,28.7350426,,,,
715,21.0389,28.5067329,,,,
716,20.8867,27.5934944,,,,
717,20.7365,27.5934944,,,,
718,20.5891,24.1688423,,,,
719,20.4445,22.68483,,,,
720,20.3026,21.7715874,,,,
721,20.1633,21.4291229,,,,
722,20.0264,20.5158844,,,,
723,19.892,20.2875748,,,,
724,19.7802,19.031868,,,,
725,19.6508,18.11863,,,,
726,19.5233,17.54785,,,,
727,19.3976,16.29215,,,,
728,19.2737,15.72137,,,,
729,19.1515,14.00905,,,,
730,19.0309,13.5524254,,,,
731,18.912,13.43827,,,,
732,18.7945,12.98165,,,,
733,18.6786,12.4108772,,,,
734,18.5642,11.954258,,,,
735,18.451,11.954258,,,,
736,18.3393,11.38348,,,,
737,18.2288,11.15517,,,,
738,18.1196,10.812706,,,,
739,18.0115,10.5843964,,,,
740,17.9046,10.0136223,,,,
741,17.7988,9.7853127,,,,
742,17.6941,9.2145348,,,,
743,17.5904,9.2145348,,,,
744,17.4877,8.7579155,,,,
745,17.5565,8.41545,,,,
746,17.6378,7.6163673,,,,
747,20.1866,29.07751,,,,
748,20.3602,12.98165,,,,
749,21.4594,10.3560867,,,,
750,21.9356,10.812706,,,,
751,22.0547,10.0136223,,,,
752,22.0828,9.7853127,,,,
753,21.9343,12.2145348,,,,
754,21.9187,11.41545,,,,
755,21.885,10.6163673,,,,
756,21.8377,10.3880577,,,,
757,21.8061,9.81728,,,,
758,21.7509,9.81728,,,,
759,22.2155,11.41545,,,,
760,22.3606,10.6163673,,,,
761,22.3267,10.1597443,,,,
762,22.2319,9.81728,,,,
763,22.0529,9.81728,,,,
764,21.8504,9.0181961,,,,
765,21.7227,8.2191124,,,,
766,21.565,8.2191124,,,,
767,21.5739,7.9908,,,,
768,21.477,7.4200249,,,,
769,21.3079,7.4200249,,,,
770,21.2394,6.9634056,,,,
771,21.3315,6.6209412,,,,
772,21.3777,6.6209412,,,,
773,21.1356,6.6209412,,,,
774,23.5509,22.9451065,,,,
775,23.4645,13.5843964,,,,
776,23.4173,12.557003,,,,
777,23.3574,9.81728,,,,
778,23.3188,9.81728,,,,
779,23.0943,9.36066,,,,
780,22.8481,9.0181961,,,,
781,22.7065,8.2191124,,,,
782,22.5944,8.2191124,,,,
783,22.5179,8.2191124,,,,
784,22.466,7.9908,,,,
785,22.388,8.2191124,,,,
786,22.486,7.76249,,,,
787,23.2807,8.2191124,,,,
788,23.4732,7.76249,,,,
789,23.3246,7.4200249,,,,
790,23.1359,7.1917152,,,,
791,23.0647,7.4200249,,,,
792,22.7702,8.5615768,,,,
793,22.8603,8.5615768,,,,
794,23.1045,10.95883,,,,
795,23.3064,10.6163673,,,,
796,23.7875,10.6163673,,,,
797,23.8532,10.95883,,,,
798,24.1229,10.3880577,,,,
799,24.4051,10.6163673,,,,
800,24.4595,11.7579155,,,,
801,24.9621,12.2145348,,,,
802,27.3324,12.557003,,,,
803,27.1776,13.812706,,,,
804,28.2997,21.4610939,,,,
805,28.8572,16.29215,,,,
806,29.1705,15.72137,,,,
807,28.933,18.4610939,,,,
808,28.7148,11.954258,,,,
809,29.9539,12.4108772,,,,
810,32.1347,12.98165,,,,
811,34.1041,15.9496841,,,,
812,33.725,21.4291229,,,,
813,33.4877,25.9953232,,,,
814,35.2937,22.3423653,,,,
815,34.8874,31.4747658,,,,
816,38.3892,30.67568,,,,
817,38.7132,14.3515129,,,,
818,38.205,13.20996,,,,
819,37.9216,12.98165,,,,
820,37.9254,11.954258,,,,
821,37.5648,14.00905,,,,
822,38.0055,14.922287,,,,
823,38.4687,11.6117935,,,,
824,39.2431,26.6802559,,,,
825,38.5175,17.2053871,,,,
826,40.1786,21.2008133,,,,
827,39.9035,37.41083,,,,
828,40.836,41.97703,,,,
829,41.7672,44.71674,,,,
830,46.7943,45.8583,,,,
831,46.7479,37.63914,,,,
832,45.5265,35.92681,,,,
833,44.4635,24.1688423,,,,
834,43.4756,22.68483,,,,
835,42.8804,34.2144852,,,,
836,42.6339,41.2921,,,,
837,42.8128,52.7075958,,,,
838,43.5096,69.83085,,,,
839,46.8175,85.584244,,,,
840,48.8848,74.739517,,,,
841,51.6332,77.47924,,,,
842,52.8737,94.145874,,,,
843,54.0346,63.66648,,,,
844,53.7598,74.397049,,,,
845,54.4457,74.739517,,,,
846,54.8357,74.397049,,,,
847,55.2841,79.648186,,,,
848,58.6751,55.67563,,,,
849,58.3932,47.68478,,,,
850,58.8349,43.118576,,,,
851,57.6647,35.92681,,,,
852,58.5509,41.2921,,,,
853,58.8204,45.40168,,,,
854,59.4145,51.56605,,,,
855,62.0949,64.80803,,,,
856,62.8212,74.397049,,,,
857,66.3451,78.27832,,,,
858,75.4376,96.42897,,,,
859,79.2843,74.739517,,,,
860,81.3309,87.29657,,,,
861,82.9708,110.127579,,,,
862,101.769,94.145874,,,,
863,100.422,93.004318,,,,
864,104.742,90.721222,,,,
865,107.787,150.081833,,,,
866,110.021,166.063538,,,,
867,107.011,221.9995,,,,
868,115.023,203.7347,,,,
869,115.946,262.7756,,,,
870,130.589,211.0404,,,,
871,134.638,176.337479,,,,
872,128.452,113.552231,,,,
873,122.635,105.561371,,,,
874,116.926,99.853622,,,,
